column0,column1,column2,column3,column4
-65,86,12,52,-1
33,-79,-52,-1,-97
-30,-22,31,77,-29
-70,97,-5,33,73
-49,10,81,47,73
-64,29,11,-95,-41
53,80,-48,9,-95
-100,24,-66,94,98
38,59,48,34,-65
23,25,-81,11,-48
-13,13,97,66,28
-93,42,57,-3,83
-27,95,30,-48,28
84,13,-99,3,89
88,38,50,4,80
-15,34,68,-25,-96
-35,-75,79,34,1
19,-27,-2,11,17
23,11,-10,66,-66
-20,28,-95,51,33
6,9,61,30,100
-37,-9,-64,3,-15
-52,28,-91,85,4
70,48,-78,41,-9
36,31,98,-57,-44
-58,93,-18,7,73
35,21,-98,-7,-73
-31,38,52,-25,6
-79,42,-31,75,54
81,15,-10,17,33
9,-98,3,35,-58
-20,-13,40,32,68
-9,-76,-91,34,45
17,-31,46,-1,1
-30,-98,39,33,5
28,46,40,-38,-96
59,49,67,-59,-65
60,23,-37,42,-36
98,23,29,62,28
81,3,82,98,2
-59,52,90,20,-91
73,-12,-37,46,-41
58,42,-1,58,-38
95,29,68,39,-48
-46,25,72,59,-60
81,49,-75,-92,-21
-5,-46,-85,-88,20
-15,23,-21,-20,-54
-50,-12,79,35,-18
90,-31,18,72,14
-27,21,-77,78,-25
32,18,-34,-14,-54
19,28,98,-5,48
33,30,36,-52,-15
5,38,17,30,-11
0,21,10,14,64
60,13,35,31,49
-29,20,-70,-40,31
73,19,-44,-75,-57
64,17,58,14,41
28,22,78,-91,100
0,82,92,37,5
-23,94,25,-81,-43
74,39,37,67,-18
-95,44,10,-90,73
49,21,-82,-20,67
-88,30,15,-55,18
-55,39,-65,-50,-5
-94,-27,-79,35,40
-63,44,32,74,-64
75,-75,58,32,-28
81,35,-58,-16,-23
-36,-68,-75,33,56
59,36,54,75,70
-49,11,33,-62,-59
94,19,18,-45,90
6,-71,-68,32,57
32,19,-58,-4,57
11,41,-52,99,21
52,12,77,13,30
39,16,23,-35,-35
-63,53,-3,31,-18
89,61,94,33,42
-32,-4,-66,86,-64
1,34,-63,-50,-39
13,35,62,58,-87
-5,43,-86,-71,-21
-24,48,8,-23,48
-58,-67,89,30,92
-62,-29,-56,33,-36
-76,14,100,94,-16
46,28,-66,-88,79
-41,80,83,92,52
-78,32,8,57,17
50,11,-21,43,18
41,-79,-84,39,2
-18,24,75,-58,39
-4,11,-86,-1,85
29,25,29,-83,37
-57,24,-41,-96,38
-91,46,32,-61,-67
2,29,77,27,55
82,19,56,-42,51
65,40,-11,14,-90
88,-59,13,40,-50
-55,27,-43,-47,40
-96,13,-30,4,-47
-43,47,59,68,85
-8,41,61,77,-52
-84,22,-45,70,-54
14,13,64,54,74
-28,69,29,-88,-88
21,33,-64,-6,-98
-65,3,-91,64,-76
10,64,22,36,-19
56,5,-4,29,-4
87,13,-25,18,-74
-14,16,-31,3,-62
18,21,92,-29,-33
52,-58,-8,-71,-79
-98,40,-18,78,-19
91,13,57,91,61
73,-66,55,32,-16
-51,34,80,-79,50
-40,-38,-95,74,57
-41,40,34,-4,77
56,5,80,32,-60
-31,13,34,47,45
-21,15,81,-15,75
12,-12,-6,41,39
-58,-94,-26,-2,12
93,29,-17,22,29
85,87,91,35,-21
-41,34,-92,-83,75
94,-82,-46,-41,46
97,95,-7,85,69
83,25,-78,37,-36
-58,-14,-1,58,-10
34,37,-62,-92,-58
48,19,-36,-17,-28
44,-16,-96,-40,-29
-20,-68,-96,5,39
-62,37,-76,-65,-70
-87,-96,-38,34,-42
-44,15,84,-74,85
23,25,-22,-61,-97
13,-25,-24,-35,-3
-33,21,0,-49,-64
38,10,-90,-85,-72
-15,-37,-38,-12,-63
19,12,-78,-28,-10
-39,-89,-65,-27,-67
59,70,-12,-42,-16
57,78,65,-68,67
18,33,40,2,6
-3,34,-77,25,20
-60,25,68,75,-64
-72,-10,41,41,32
52,19,-55,-63,34
-18,-82,26,-94,-21
-82,16,-79,-29,89
-28,29,-44,74,13
79,15,42,-56,-51
86,24,16,-37,-66
71,10,-71,-45,-24
-76,22,97,37,2
-10,13,-94,-39,-44
-20,30,77,-85,-19
-13,27,-22,99,8
-61,18,-100,64,-26
6,36,-34,88,39
95,30,18,-14,49
23,24,-82,94,37
-4,-42,-90,34,17
-37,-67,-22,39,-2
81,43,-10,-69,-37
-48,37,-18,1,-57
95,14,57,24,-63
-79,28,27,45,-47
60,34,-55,36,-67
-61,41,72,-22,8
29,-20,42,93,-99
96,20,59,-13,79
-37,39,-32,36,-72
-13,55,-20,40,92
78,49,-43,100,-20
-5,33,10,93,-88
-44,34,-38,-18,-79
-93,-100,81,-1,98
-68,-61,-83,35,-83
-27,36,-23,9,49
-35,93,-24,71,-13
7,41,95,-12,80
50,10,-19,27,-19
-27,42,16,77,78
35,16,7,48,5
-56,0,-55,40,-10
-71,42,53,69,17
-98,36,51,70,78
14,-10,68,-42,94
-95,91,95,-5,-22
65,63,75,22,24
-55,-61,82,31,-71
37,40,-24,-73,-13
86,-86,-83,41,85
-93,34,42,-53,52
-41,17,16,34,-64
-82,-32,99,-1,86
-85,40,-73,-35,-55
-88,49,91,80,-10
-20,16,19,87,-49
-18,25,-54,63,79
-96,15,55,-60,25
-99,15,72,57,-48
64,13,-34,3,26
-34,-38,58,-89,-75
-10,-47,86,36,-91
93,30,-45,-88,90
50,12,85,-45,51
8,36,39,96,-40
59,17,60,-69,91
31,83,37,39,-45
-89,6,65,35,73
-91,37,-32,67,-6
-35,53,78,39,-75
45,44,17,-88,58
48,-47,-38,20,-70
81,49,-93,64,-43
-77,44,90,32,-38
55,69,40,-25,13
60,26,-42,-84,-20
-50,22,-21,-26,14
50,42,-93,86,-76
-56,47,-94,52,64
86,25,-2,-97,-25
-6,21,23,-77,-10
-22,-11,71,-82,-96
10,43,-60,-69,-40
-93,27,66,31,-65
